грамота,нотная филькина китайская почетная охранная
рынок,блошиный потребительский рекламный продуктовый фондовый
сон,дневной беспокойный глубокий кошмарный разума
год,високосный учебный который голодный Новый
сыр,бесплатный твердый российский творожный плавленый
камушек,гранитный плоский маленький гладкий драгоценный
выбор,сделать сложный тяжелый богатый правильный
вопрос,риторический больной финансовый резонный задать
мечта,голубая заветная сбылась давнишняя вожделенная
лист,банный лавровый осенний чистый смородиновый
